"species","Spnvisits","P90","prop_abs","Taxa","Taxa_Root"
"Micronecta griseola",6,2.8,0.999524564183835,"AquaticBugs","AquaticBugs"
"Micronecta minutissima",11,4.7,0.999128367670365,"AquaticBugs","AquaticBugs"
"Corixa affinis",54,4,0.995721077654517,"AquaticBugs","AquaticBugs"
"Chartoscirta cocksii",7,2.2,0.999445324881141,"AquaticBugs","AquaticBugs"
"Sigara iactans",19,4,0.998494453248811,"AquaticBugs","AquaticBugs"
"Microvelia buenoi",44,9,0.996513470681458,"AquaticBugs","AquaticBugs"
"Hydrometra gracilenta",28,7.8,0.997781299524564,"AquaticBugs","AquaticBugs"
"Hebrus pusillus",48,8.2,0.996196513470681,"AquaticBugs","AquaticBugs"
"Saldula opacula",9,4.6,0.999286846275753,"AquaticBugs","AquaticBugs"
"Halosalda lateralis",10,2,0.999207606973059,"AquaticBugs","AquaticBugs"
"Corixa iberica",2,1,0.999841521394612,"AquaticBugs","AquaticBugs"
"Salda muelleri",5,1,0.999603803486529,"AquaticBugs","AquaticBugs"
"Salda morio",3,1,0.999762282091918,"AquaticBugs","AquaticBugs"
"Micracanthia marginalis",2,1,0.999841521394612,"AquaticBugs","AquaticBugs"
"Cymatia rogenhoferi",4,1,0.999683042789223,"AquaticBugs","AquaticBugs"
"Pachycoleus waltli",1,1,0.999920760697306,"AquaticBugs","AquaticBugs"
"Chartoscirta elegantula",1,1,0.999920760697306,"AquaticBugs","AquaticBugs"
"Saldula fucicola",1,1,0.999920760697306,"AquaticBugs","AquaticBugs"
"Aepophilus bonnairei",0,0,1,"AquaticBugs","AquaticBugs"
"Naucoris maculatus",1,1,0.999920760697306,"AquaticBugs","AquaticBugs"
"Chiloxanthus pilosus",1,1,0.999920760697306,"AquaticBugs","AquaticBugs"
"Cryptostemma waltli",0,0,1,"AquaticBugs","AquaticBugs"
"Glaenocorisa propinqua subsp. cavifrons",1,1,0.999920760697306,"AquaticBugs","AquaticBugs"
"COLLETES halophilus",169,8,0.997399759977844,"Bees","Bees"
"COLLETES succinctus",1099,50.6,0.98309074683817,"Bees","Bees"
"COLLETES hederae",1640,207.2,0.974766901560144,"Bees","Bees"
"ANDRENA cineraria",1270,67.8,0.980459734744746,"Bees","Bees"
"ANDRENA clarkella",1038,46,0.984029295011847,"Bees","Bees"
"ANDRENA flavipes",3574,178,0.945010308643875,"Bees","Bees"
"ANDRENA florea",342,21.7,0.994737975813152,"Bees","Bees"
"ANDRENA haemorrhoa",3640,152.4,0.943994830292027,"Bees","Bees"
"ANDRENA marginata",192,9.1,0.997045881158261,"Bees","Bees"
"ANDRENA nigroaenea",2333,96,0.964104378865741,"Bees","Bees"
"ANDRENA nitida",2017,100.8,0.968966366126104,"Bees","Bees"
"Andrena scotica",2959,125.8,0.954472720558821,"Bees","Bees"
"HALICTUS rubicundus",1738,63.4,0.973259070068006,"Bees","Bees"
"HALICTUS tumulorum",3055,137.6,0.952995661137951,"Bees","Bees"
"LASIOGLOSSUM albipes",1654,74.5,0.974551497061267,"Bees","Bees"
