species,Spnvisits
Campsicnemus picticornis,28
Campsicnemus pumilio,15
Campsicnemus pusillus,2
Campsicnemus scambus,202
Chrysotimus flaviventris,12
Chrysotimus molliculus,53
Lamprochromus bifasciatus,13
 Lamprochromus bifasciatus,4
Lamprochromus strobli,0
Micromorphus albipes,118
Micropygus vagans,9
Sympycnus aeneicoxa,54
Sympycnus cirripes,21
Sympycnus pulicarius,398
Sympycnus spiculatus,6
Syntormon aulicus,19
Syntormon bicolorellus,32
Syntormon denticulatum,149
Syntormon filiger,5
Syntormon fuscipes,17
Syntormon macula,6
Syntormon mikii,6
Syntormon monilis,24
Syntormon pallipes,348
Syntormon pseudospicatum,6
Syntormon pumilus,96
Syntormon silvianus,8
Syntormon sulcipes,24
Syntormon tarsatus,20
Syntormon zelleri,14
Telmaturgus tumidulus,3
Teuchophorus calcaratus,41
Teuchophorus monacanthus,66
Teuchophorus nigricosta,36
Teuchophorus simplex,31
Teuchophorus spinigerellus,71
Xanthochlorus galbanus,14
Xanthochlorus ornatus,68
Xanthochlorus tenellus,18
Achalcus bimaculatus,5
Achalcus britannicus,1
Achalcus cinereus,40
Achalcus flavicollis,38
Australachalcus melanotrichus,3
Achalcus thalhammeri,4
Achalcus vaillanti,8
Argyra argentina,37
Argyra argyria,85
Argyra atriceps,9
Argyra auricollis,2
Argyra diaphana,113
Argyra elongata,9
Argyra grata,5
Argyra ilonae,21
Argyra leucocephala,170
Argyra perplexa,54
Argyra vestita,69
Chrysotus blepharosceles,88
Chrysotus cilipes,106
Chrysotus collini,5
Chrysotus cupreus,6
Chrysotus femoratus,16
Chrysotus gramineus,477
Chrysotus angulicornis,0
Chrysotus laesus,14
Chrysotus melampodius,1
Chrysotus monochaetus,0
Chrysotus neglectus,76
Chrysotus obscuripes,6
Chrysotus palustris,14
Chrysotus pulchellus,8
Chrysotus suavis,32
Chrysotus verralli,0
Diaphorus hoffmannseggii,8
Diaphorus nigricans,28
Diaphorus oculatus,14
Melanostolus melancholicus,17
Dolichopus acuticornis,4
Dolichopus agilis,4
Dolichopus andalusiacus,13
Dolichopus arbustorum,9
Microphor strobli,2
Platypalpus minutus sens. str.,113
Tachydromia edenensis,5
Medetera grisescens,0
Kowarzia madicola,0
Tachydromia smithi,4
Dolichopus excisus,0
Hilara aartseni,8
Hilara tenella,1
Platypalpus nigricoxa,1
Hilara woodiella,0
Achalcus nigropunctatus,0
Xanthochlorus luridus,5
Xanthochlorus silaceus,1
Serratella ignita,2723
Cloeon dipterum,1542
Ephemera danica,1606
Procloeon bifidum,150
Ephemera vulgata,103
Baetis vernus,725
Baetis rhodani,5082
Cloeon simile,141
Habrophlebia fusca,855
Caenis robusta,163
Rhithrogena semicolorata,463
Electrogena lateralis,308
Baetis muticus,1137
Ameletus inopinatus,72
Siphlonurus lacustris,140
Ecdyonurus sp,320
Baetis atrebatinus,36
Heptagenia sulphurea,538
Paraleptophlebia submarginata,566
Siphlonurus alternatus,2
Brachycercus harrisella,29
Caenis luctuosa group,394
Ephemerella notata,37
Baetis scambus,123
Procloeon pennulatum,139
Electrogena affinis,5
Paraleptophlebia cincta,81
Caenis horaria,292
Ecdyonurus insignis,16
Caenis rivulorum,1008
Paraleptophlebia werneri,27
Kageronia fuscogrisea,29
Leptophlebia marginata,144
Potamanthus luteus,64
Baetis fuscatus,21
Centroptilum luteolum,723
Baetis niger,249
Rhithrogena germanica,42
Ephemera lineata,12
Leptophlebia vespertina,135
Caenis pusilla,0
Caenis pseudorivulorum,1
Baetis buceratus,113
Baetis digitatus,21
Siphlonurus armatus,6
Fsh_303,1638
Fsh_323,4099
Fsh_298,1450
Fsh_222,1482
Fsh_322,2157
Fsh_258,1313
Fsh_166,2000
Fsh_157,3774
Fsh_125,901
Fsh_234,1260
Fsh_140,238
Fsh_333,109
Fsh_290,177
Fsh_229,1769
Fsh_208,1875
Fsh_128,221
Fsh_254,1129
Fsh_305,198
Fsh_317,1737
Fsh_237,234
Fsh_361,449
Fsh_446,215
Fsh_357,481
Fsh_199,45
Fsh_335,277
Fsh_124,136
Fsh_448,19
Fsh_313,151
Fsh_168,406
Fsh_180,27
Fsh_445,31
Fsh_202,0
Fsh_183,176
Fsh_215,251
Fsh_294,15
Fsh_309,18
Fsh_256,1
Fsh_319,18
Fsh_257,4
Fsh_331,27
Fsh_204,6
Fsh_315,1
Fsh_318,2
Fsh_349,7
Fsh_266,2
Fsh_148,17
Fsh_149,49
Fsh_252,15
Fsh_217,11
Fsh_311,1
Fsh_126,3
Fsh_210,4
Fsh_129,1
Fsh_326,1
Fsh_193,8
Fsh_181,1
Fsh_259,0
Fsh_136,1
Fsh_255,0
Fsh_250,2
Fsh_332,2
Fsh_142,0
Fsh_373,0
Fsh_153,1
Fsh_141,0
Fsh_182,0
Fsh_184,1
Mycetophila ichneumonea,362
Mycetophila mitis,12
Mycetophila ocellus,580
Mycetophila ornata,387
Mycomya cinerascens,481
Allodiopsis rustica,279
Mycomya annulata,301
Orfelia ochracea,78
Macrocera stigma,233
Macrocera vittata,535
Apolephthisa subincana,126
Mycetophila trinotata,117
Mycetophila unipunctata,269
Mycetophila vittipes,214
Phronia basalis,80
Phronia biarcuata,274
Phronia cinerascens,181
Boletina basalis,109
Boletina gripha,224
Phronia nitidiventris,104
Mycetophila luctuosa,261
Mycetophila perpallida,118
Zygomyia pictipennis,104
Sceptonia cryptocauda,12
Acnemia nitidicollis,336
Megalopelma nigroclavatum,24
Boletina dubia,132
Boletina griphoides,6
Boletina populina,1
Boletina rejecta,17
Boletina trivittata,638
Phronia conformis,150
Phronia coritanica,141
Phronia exigua,58
Phronia humeralis,354
Phronia nigricornis,171
Phronia notata,57
Symmerus annulatus,156
Exechia fusca,490
Keroplatus testaceus,46
Mycomya trilineata,67
Bolitophila cinerea,201
Cerotelion striatum,43
Platurocypta punctum,39
Mycetophila forcipata,49
Mycetophila formosa,256
Mycetophila marginata,442
Leia bimaculata,30
Allodia lugens,310
Allodia ornaticollis,325
Allodia zaitzevi,78
Allodia truncata,77
Allodiopsis domestica,11
Mycomya fimbriata,35
Pseudobrachypeza helvetica,306
Allodia lundstroemi,88
Allodia czernyi,4
Leia fascipennis,96
Leptomorphus walkeri,13
Macrocera angulata,223
Mycetophila britannica,296
Macrocera fasciata,248
Cordyla crassicornis,233
Coelosia flava,139
Cordyla flaviceps,26
Cordyla murina,57
Cordyla semiflava,18
Diadocidia ferruginosa,230
Synplasta gracilis,121
Monocentrota lundstromi,9
Monoclona rufilatera,86
Phronia triangularis,59
Platurocypta testata,152
Boletina sciarina,36
Bolitophila hybrida,147
Macrocera centralis,182
Bolitophila occlusa,81
Dynatosoma fuscicorne,71
Exechia festiva,117
Macrocera phalerata,199
Macrorrhyncha flava,112
Allocotocera pulchella,70
Mycetophila cingulum,74
Platyura marginata,80
Macrocera stigmoides,246
Saigusaia flaviventris,157
Trichonta falcata,17
Neuratelia nemoralis,149
Mycetophila curviseta,391
Mycetophila edwardsi,284
Orfelia nemoralis,175
Allodia grata,36
Zygomyia valida,197
Mycomya neohyalinata,82
Phronia braueri,78
Mycetophila stylata,43
Mycetophila schnablii,3
Docosia gilvipes,44
Bolitophila saundersii,408
Exechiopsis unguiculata,95
Exechia spinuligera,81
Epicypta aterrima,32
Pseudexechia trivittata,64
Synapha vitripennis,214
Exechiopsis intersecta,82
Mycetophila ruficollis,30
Mycetophila rudis,97
Brachypeza bisignata,17
Exechia nigra,37
Anatella flavomaculata,61
Dynatosoma thoracicum,1
Rymosia fasciata,239
Brachypeza armata,9
Exechia dorsalis,118
Exechia parvula,83
Stigmatomeria crassicornis,340
Neoempheria bimaculata,4
Mycetophila fungorum,417
Mycetophila sordida,27
Tetragoneura sylvatica,252
Sceptonia membranacea,86
Brevicornu griseicolle,294
Mycetophila dentata,38
Mycomya circumdata,42
Exechia parva,65
Mycetophila fraterna,292
Zygomyia pseudohumeralis,27
Speolepta leptogaster,13
Mycetophila pumila,80
Bolitophila maculipennis,2
Cordyla brevicornis,78
Brevicornu sericoma,476
Pseudexechia aurivernica,28
Mycomya winnertzi,227
Phronia strenua,87
Bolitophila pseudohybrida,39
Tarnania nemoralis,57
Macrocera nigricoxa,26
Anatella unguigera,33
Tarnania fenestralis,47
Macrocera lutea,33
Leia crucigera,12
Mycomya tumida,37
Exechiopsis leptura,45
Sceptonia nigra,89
Brevicornu serenum,8
Trichonta melanura,82
Antlemon servulum,51
Rymosia virens,43
Exechiopsis hammi,29
Anatella longisetosa,58
Synapha fasciata,118
Exechia repanda,28
Mycomya pectinifera,34
Mycomya marginata,179
Trichonta fragilis,11
Mycomya parva,14
Mycetophila hetschkoi,51
Mycetophila finlandica,49
Phronia forcipata,102
Phthinia winnertzi,67
Rymosia placida,22
Mycomya tenuis,84
Anatella dampfi,21
Mycetophila immaculata,3
Allodia pistillata,16
Coelophthinia thoracica,52
Neoempheria pictipennis,62
Orfelia fasciata,73
Boletina trispinosa,40
Anatella setigera,32
Mycetophila evanida,18
Polylepta guttiventris,89
Mycetophila stolida,16
Exechiopsis crucigera,27
Phronia tenuis,86
Exechia exigua,17
Leia winthemii,50
Mycetophila magnicauda,33
Rymosia armata,0
Isoneuromyia semirufa,42
Mycetophila blanda,28
Trichonta hamata,28
Allodia barbata,12
Boletina plana,81
Macrocera parva,45
Mycetophila uliginosa,8
Trichonta atricauda,37
Exechia bicincta,44
Exechiopsis clypeata,51
Macrocera anglica,41
Acnemia longipes,15
Dynatosoma nigromaculatum,0
Trichonta clavigera,10
Mycetophila sumavica,17
Phronia egregia,5
Exechiopsis subulata,171
Notolopha cristata,80
Exechia contaminata,136
Brevicornu auriculatum,32
Sciophila geniculata,2
Sceptonia costata,22
Bolitophila modesta,19
Exechia borealis,21
Phronia flavipes,86
Mycomya nitida,39
Mycomya prominens,52
Mycetophila signatoides,152
Exechiopsis fimbriata,25
Mycetophila alea,75
Trichonta terminalis,28
Bolitophila dubia,25
Gnoriste bilineata,6
Orfelia lugubris,44
Phthinia mira,20
Coelosia tenella,33
Cordyla fasciata,19
Allodia alternans,18
Trichonta vulcani,5
Exechiopsis ligulata,14
Pseudexechia trisignata agg.,92
Mycetophila signata,9
Mycetophila adumbrata,54
Zygomyia vara,181
Neoplatyura nigricauda,16
Rymosia signatipes,20
Anatella simpatica,39
Phronia siebeckii,18
Sciophila fenestella,7
Coelosia fusca,18
Leia bilineata,4
Cordyla pusilla,10
Sciophila krysheni,2
Bolitophila nigrolineata,2
Boletina edwardsi,25
Allodia anglofennica,16
Mycetophila subsigillata,16
Zygomyia humeralis,102
Sceptonia fumipes,46
Sciophila rufa,6
Macrocera pusilla,2
Bolitophila glabrata,16
Paratinia sciarina,6
Rymosia coulsoni,5
Bolitophila spinigera,5
Mycomya trivittata,3
Anatella ciliata,64
Cordyla pseudomurina,17
Docosia fuscipes,7
Mycetophila confluens,27
Epicypta limnophila,26
Orfelia pallida,14
Macrocera fascipennis,10
Exechia pseudocincta,17
Exechia confinis,23
Trichonta vitta,77
Neoplatyura flava,33
Trichonta foeda,24
Zygomyia semifusca,27
Diadocidia spinosula,83
Pyratula zonata,37
Mycomya sigma,24
Rymosia setiger,5
Exechia nigroscutellata,54
Exechia seriata,80
Bolitophila basicornis,3
Docosia sciarina,28
Mycetophila bialorussica,2
Cordyla fissa,61
Allodia foliifera,3
Phronia mutabilis,2
Tarnania tarnanii,0
Urytalpa dorsalis,33
Phronia disgrega,10
Syntemna hungarica,8
Phronia signata,44
Brevicornu griseolum,7
Dziedzickia marginata,11
Grzegorzekia collaris,8
Diadocidia valida,1
Mycetophila abbreviata,4
Mycetophila spectabilis,18
Brevicornu fuscipenne,25
Pseudorymosia fovea,10
Exechiopsis pulchella,22
Cordyla parvipalpis,13
Brevicornu ruficorne,10
Cordyla fusca,13
Dynatosoma reciprocum,64
Boletina bidenticulata,13
Ectrepesthoneura hirta,18
Exechiopsis indecisa,12
Phronia persimilis,1
Zygomyia notata,32
Exechia separata,12
Brevicornu fissicauda,52
Neuratelia nigricornis,29
Brevicornu verralli,25
Mycetophila scotica,1
Zygomyia valeriae,18
Exechiopsis magnicauda,1
Sciophila nigronitida,4
Mycomya ornata,0
Rymosia bifida,42
Mycomya occultans,9
Mycomya affinis,29
Exechia pseudofestiva,27
Leia cylindrica,37
Mycetophila pictula,22
Orfelia nigricornis,9
Docosia moravica,15
Palaeodocosia flava,0
Leia subfasciata,17
Phthinia humilis,11
Trichonta venosa,10
Sciophila limbatella,0
Trichonta brigantia,2
Rymosia speyae,2
Mycomya frequens,4
Mycetophila bohemica,2
Anatella lenis,10
Exechiopsis membranacea,10
Phronia sudetica,4
Brevicornu nigrofuscum,1
Macrocera estonica,1
Neoplatyura modesta,22
Phronia obtusa,16
Exechiopsis dumitrescae,17
Mycetophila morosa,0
Sciophila adamsi,1
Mycetophila lastovkai,10
Mycomya wankowiczii,36
Mycetophila lamellata,12
Rondaniella dimidiata,18
Boletina nigricans,10
Trichonta submaculata,18
Mycomya vittiventris,11
Mycetophila strigata,29
Mycetophila abiecta,20
Mycetophila lunata,42
Boletina lundstroemi,7
Mycomya flavicollis,16
Acnemia amoena,1
Exechia cincta,25
Boletina pallidula,20
Trichonta subfusca,12
Bolitophila tenella,4
Ditomyia fasciata,22
Mycetophila sigmoides,11
Mycetophila v-nigrum,2
Mycetophila gibbula,11
Anatella minuta,22
Exechia repandoides,8
Palaeodocosia vittata,31
Allodia neglecta,5
Zygomyia kiddi,11
Allodia westerholti,2
Boletina nitida,28
Mycetophila unicolor,60
Sciophila interrupta,1
Trichonta apicalis,4
Brevicornu proximum,7
Allodia protenta,0
Mycetophila occultans,14
Dynatosoma cochleare,2
Mycetophila tridentata,25
Mycetophila confusa,3
Mycetophila stricklandi,4
Mycetophila sepulta,12
Macrocera longibrachiata,1
Mycetophila dziedzickii,1
Rymosia spinipes,11
Mycetophila eppingensis,7
Mycomya maura,17
Cordyla insons,6
Docosia carbonaria,3
Pseudexechia parallela,4
Mycetophila caudata,10
Pseudexechia tuomikoskii,12
Mycetophila autumnalis,15
Trichonta nigritula,0
Mycomya britteni,8
Phronia portschinskyi,1
Allodia embla,0
Synplasta ingeniosa,9
Boletina kivachiana,0
Sciophila varia,1
Mycetophila deflexa,4
Rutylapa ruficornis,4
Docosia fumosa,2
Macrocera maculata,8
Brachypeza radiata,2
Macrorrhyncha hugoi,1
Ectrepesthoneura colyeri,2
Monocentrota favonii,6
Neoempheria striata,1
Brevicornu intermedium,5
Sciophila lutea,21
Greenomyia mongolica,4
Rymosia britteni,2
Pseudexechia trisignata,6
Rymosia fosteri,1
Exechiopsis seducta,0
Exechiopsis pollicata,11
Sciophila hirta,4
Manota unifurcata,2
Sciophila nonnisilva,5
Phronia interstincta,5
Sceptonia pughi,2
Sceptonia flavipuncta,3
Leia longiseta,10
Pyratula perpusilla,9
Exechia dizona,6
Allodia angulata,7
Exechia pectinivalva,8
Exechiopsis pseudindecisa,4
Phronia electa,2
Anaclileia dispar,5
Phronia vitrea,2
Mycomya rosalba,0
Boletina villosa,5
Brevicornu fennicum,0
Mycomya shermani,4
Mycomya griseovittata,0
Rymosia connexa,0
Sceptonia regni,1
Sceptonia fuscipalpis,1
Exechiopsis furcata,5
Anatella turi,12
Mycetophila uninotata,6
Neoempheria lineola,0
Syntemna nitidula,5
Myrosia maculosa,6
Bolitophila rossica,5
Mycomya collini,1
Tarnania dziedzickii,2
Creagdhubhia mallochorum,1
Orfelia discoloria,7
Mycomya fuscata,2
Exechiopsis jenkinsoni,5
Mycetophila czizekii,2
Anatella alpina,2
Mycomya insignis,3
Clastobasis alternans,3
Macrocera crassicornis,3
Mycetophila lubomirskii,1
Megophthalmidia crassicornis,12
Synplasta rufilatera,0
Urytalpa atriceps,0
Sciophila plurisetosa,1
Eudicrana nigriceps,1
Brevicornu kingi,6
Allodia silvatica,1
Mycetophila sublunata,3
Anatella ankeli,1
Azana anomala,0
Brevicornu foliatum,3
Exechiopsis dryaspagensis,5
Mycetophila freyii,4
Mycomya permixta,0
Sceptonia pilosa,0
Sciophila thoracica,2
Docosia expectata,2
Mycetophila mohilevensis,1
Mycomya nigricornis,2
Asindulum nigrum,3
Allodiopsis korolevi,1
Trichonta flavicauda,0
Brevicornu glandis,2
Boletina groenlandica,1
Synplasta exclusa,0
Phronia caliginosa,1
Boletina nasuta,5
Orfelia bicolor,0
Exechia chandleri,0
Zygomyia matilei,0
Pseudexechia monica,1
Exechia styriaca,1
Boletina silvatica,0
Rocetelion humerale,0
Docosia setosa,1
Macrocera zetterstedti,1
Sciophila fridolini,1
Sciophila baltica,3
Sciophila buxtoni,0
Docosia flavicoxa,4
Neoempheria winnertzi,1
Sceptonia tenuis,2
Exechiopsis davatchii,0
Mycetophila lapponica,0
Trichonta icenica,1
Phronia tiefii,0
Symmerus nobilis,0
Leia piffardi,2
Exechia cincinnata,1
Rymosia acta,2
Anatella emergens,2
Sciophila pomacea,1
Trichonta bicolor,0
Macrocera fastuosa,0
Sciophila antiqua,0
Phronia forcipula,2
Mycomya punctata,1
Urytalpa macrocera,2
Ectrepesthoneura pubescens,0
Phronia petulans,0
Boletina minuta,0
Scatopsciara vitripennis,1
Mycetophila strigatoides,2
Rymosia affinis,0
Boletina moravica,0
Sceptonia humerella,1
Mycomya paradentata,0
Neoplatyura biumbrata,0
Mycomya lambi,1
Mycomya denmax,0
Boletina pectinunguis,0
Bolitophila bimaculata,0
Syntemna stylata,1
Sceptonia concolor,1
Macrocera nigropicea,1
Lep_3361,735
Lep_3337,240
Lep_3367,200
Lep_3364,111
Lep_3346,84
Lep_3340,38
Lep_3313,39
Lep_3301,43
Lep_3316,44
Lep_3334,25
Lep_3490,37
Lep_3310,178
Lep_3331,9
Lep_3358,22
Lep_3349,17
Lep_3332,1
Lep_3352,19
Lep_3565,75
Lep_3559,143
Lep_3529,91
Lep_3568,83
Lep_3388,57
Lep_3286,109
Lep_3259,10
Lep_3256,90
Lep_3598,215
Lep_3284,0
Lep_3190,48
Lep_3571,4
Lep_3283,2
Lep_3601,18
Lep_3583,16
Lep_3298,7
Lep_3562,80
Lep_3202,28
Lep_3604,492
Lep_3574,333
Lep_3496,44
Lep_3304,29
Lep_3238,72
Lep_3241,135
Lep_3484,50
Lep_3193,77
Lep_3586,57
Lep_3409,3
Lep_3418,7
Lep_3404,25
Lep_3280,64
Lep_3194,10
Lep_3373,9
Lep_3487,34
Lep_3199,12
Lep_3407,59
Lep_3502,50
Lep_3508,3
Lep_3592,4
Lep_3400,14
Lep_3481,6
Lep_3370,16
Lep_3478,15
Lep_3196,23
Lep_3553,14
Lep_3415,2
Lep_3589,0
Lep_3406,0
Lep_3403,2
Lep_3466,266
Lep_3172,164
Lep_3187,27
Lep_3182,14
Lep_3178,227
Lep_3376,151
Lep_3217,3
Lep_3211,39
Lep_3205,105
Lep_3226,13
Lep_3184,124
Lep_3208,44
Lep_3391,626
Lep_3424,16
Lep_3427,11
Lep_3268,33
Lep_3274,58
Lep_3577,59
Lep_3244,43
Lep_3292,15
Lep_3271,13
Lep_3319,26
Lep_3379,9
Lep_3382,11
Lep_3394,2
Lep_3235,1
Lep_3517,2
Lep_3397,2
Lep_3223,4
Lep_3229,2
Lep_3175,15
Lep_3220,5
Lep_3514,0
Lep_3221,1
Lep_3251,3
Lep_3214,2
Lep_3385,0
Lep_3232,0
Lep_3454,17
Lep_3295,162
Lep_3265,18
Lep_3523,42
Lep_3322,179
Lep_3457,300
Lep_3532,62
Lep_3541,71
Lep_3328,154
Lep_3433,40
Lep_3460,20
Lep_3520,22
Lep_3436,45
Lep_3451,13
Lep_3439,7
Lep_3442,18
Lep_3448,16
Lep_3445,50
Lep_3463,5
Lep_3497,6
Lep_3607,0
Lep_3233,5
Lep_3325,44
Lep_3307,4
Lep_3547,2
Lep_3538,0
Lep_3430,7
Lep_3289,10
Lep_3470,5
Lep_3247,6
Lep_3262,0
Lep_3475,5
Lep_3181,4
Lep_3493,3
Lep_3421,2
Lep_3535,6
Lep_3323,2
Lep_3412,4
Lep_3556,0
Lep_3499,3
Lep_3277,0
Lep_3169,2
Lep_3550,2
Lep_3443,0
Lep_3505,0
Lep_3542,0
Lep_3544,0
Lep_3545,0
Baccha elongata,729
Brachyopa scutellaris,77
Brachypalpoides lentus,89
Callicera aurata,22
Chalcosyrphus nemorum,125
Cheilosia albipila,77
Cheilosia albitarsis agg.,1122
Cheilosia bergenstammi,373
Cheilosia carbonaria,6
Cheilosia cynocephala,16
Cheilosia fraterna,219
Cheilosia grossa,115
Cheilosia illustrata,1223
Cheilosia impressa,194
Cheilosia lasiopa,64
Cheilosia latifrons,72
Cheilosia nebulosa,7
Cheilosia pagana,1035
Cheilosia proxima,377
Cheilosia scutellata,85
Cheilosia soror,73
Cheilosia variabilis,424
Cheilosia vernalis,350
Chrysogaster cemiteriorum,133
Chrysogaster solstitialis,770
Chrysogaster virescens,77
Chrysotoxum bicinctum,734
Chrysotoxum cautum,131
Chrysotoxum festivum,152
Criorhina berberina,196
Criorhina floccosa,104
Criorhina ranunculi,65
Dasysyrphus albostriatus,369
Dasysyrphus pinastri agg.,88
Dasysyrphus tricinctus,171
Dasysyrphus venustus,355
Didea fasciata,93
Epistrophe diaphana,36
Epistrophe eligans,840
Epistrophe grossulariae,535
Epistrophe nitidicollis,29
Episyrphus balteatus,6435
Eristalinus aeneus,148
Eristalinus sepulchralis,457
Eristalis arbustorum,2880
Eristalis horticola,1083
Eristalis interruptus,1440
Eristalis intricarius,1139
Eristalis pertinax,5243
Eristalis tenax,4031
Eumerus funeralis,171
Eumerus ornatus,34
Eumerus strigatus,151
Eupeodes corollae,1416
Eupeodes latifasciatus,350
Eupeodes luniger,966
Ferdinandea cuprea,349
Helophilus hybridus,275
Helophilus pendulus,4157
Helophilus trivittatus,364
Heringia heringi,17
Heringia vitripennis,22
Lejogaster metallina,574
Leucozona laternaria,234
Leucozona lucorum,1159
Melangyna cincta,123
Melangyna lasiophthalma,179
Melangyna umbellatarum,100
Melanogaster hirtella,881
Melanostoma mellinum,2906
Melanostoma scalare,3805
Meligramma trianguliferum,21
Meliscaeva auricollis,474
Meliscaeva cinctella,754
Merodon equestris,457
Myathropa florea,1466
Myolepta dubia,17
Neoascia meticulosa,116
Neoascia podagrica,1454
Neoascia tenur,574
Orthonevra nobilis,174
Paragus haemorrhous,274
Parasyrphus punctulatus,190
Parhelophilus frutetorum,66
Parhelophilus versicolor,99
Pipiza austriaca,126
Pipiza bimaculata,34
Pipiza fenestrata,9
Pipiza lugubris,13
Pipiza luteitarsis,31
Pipiza noctiluca,233
Pipizella maculipennis,5
Pipizella viduata,378
Pipizella virens,66
Platycheirus albimanus,4106
Platycheirus ambiguus,45
Platycheirus angustatus,653
Platycheirus clypeatus agg.,1787
Platycheirus fulviventris,127
Platycheirus granditarsus,1089
Platycheirus immarginatus,40
Platycheirus manicatus,1161
Platycheirus peltatus,481
Platycheirus rosarum,452
Platycheirus scutatus agg.,942
Portevinia maculata,214
Rhingia campestris,3229
Riponnensia splendens,234
Scaeva pyrastri,938
Scaeva selenitica,64
Sericomyia silentis,1752
Sphaerophoria batava,37
Sphaerophoria fatarum,72
Sphaerophoria interrupta,389
Sphaerophoria rueppellii,89
Sphaerophoria scripta,1534
Sphaerophoria taeniata,60
Sphegina elegans,151
Syritta pipiens,3946
Syrphus ribesii,2985
Syrphus torvus,597
Syrphus vitripennis,1522
Trichopsomyia flavitarsis,141
Tropidia scita,196
Volucella bombylans,1137
Volucella inanis,291
Volucella inflata,88
Volucella pellucens,1637
Volucella zonaria,338
Xanthandrus comtus,52
Xanthogramma citrofasciatum,41
Xanthogramma pedissequum,303
Xylota abiens,9
Xylota florum,32
Xylota segnis,1775
Xylota sylvarum,380
Xylota tarda,12
Xylota xanthocnema,17
Anasimyia contracta,112
Anasimyia lineata,167
Anasimyia lunulata,13
Arctophila superbiens,154
Brachypalpus laphriformis,20
Cheilosia antiqua,95
Cheilosia longula,61
Cheilosia urbana,30
Cheilosia vulpina,87
Chrysotoxum arcuatum,301
Eriozona erratica,31
Eriozona syrphoides,42
Eristalis abusivus,205
Eristalis rupium,104
Eumerus sabulonum,11
Heringia latitarsis,3
Heringia pubescens,5
Lejogaster tarsata,36
Leucozona glaucia,535
Melanogaster aerosa,27
Microdon mutabilis agg.,34
Orthonevra brevicornis,31
Parasyrphus lineola,44
Parasyrphus nigritarsis,13
Parhelophilus consimilis,17
Platycheirus nielseni,182
Platycheirus peltatus agg.,235
Platycheirus scambus,315
Rhingia rostrata,79
Sericomyia lappona,325
Sphaerophoria philanthus,196
Sphegina clunipes,476
Xylota jakutorum,166
Brachyopa pilosa,9
Cheilosia vicina,82
Heringia brevidens,2
Parasyrphus annulatus,21
Platycheirus perpallidus,24
Platycheirus tarsalis,183
Sphaerophoria loewi,2
Sphaerophoria virgata,15
Sphegina verecunda,76
Anasimyia interpuncta,9
Brachyopa bicolor,4
Brachyopa insensilis,31
Cheilosia griseiventris,30
Chrysotoxum verralli,62
Eupeodes nielseni,15
Melangyna compositarum_labiatarum,238
Melangyna quadrimaculata,19
Neoascia obliqua,56
Orthonevra geniculata,16
Triglyphus primus,12
Cheilosia pubera,21
Melangyna arctica,47
Platycheirus podagratus,71
Anasimyia transfuga,51
Cheilosia velutina,14
Parasyrphus vittiger,54
Chamaesyrphus scaevoides,13
Chrysotoxum elegans,22
Chrysotoxum octomaculatum,2
Criorhina asilica,31
Didea intermedia,21
Epistrophe melanostoma,5
Eupeodes bucculatus agg.,9
Lejops vittatus,11
Mallota cimbiciformis,13
Melangyna barbifrons,3
Melangyna ericarum,1
Meligramma guttatum,11
Neoascia geniculata,43
Neoascia interrupta,21
Platycheirus discimanus,8
Eupeodes nitens,13
Cheilosia mutabilis,13
Cheilosia semifasciata,9
Microdon myrmicae,21
Sphegina sibirica,70
Pelecocera tricincta,18
Chalcosyrphus eunotus,11
Eupeodes bucculatus,6
Microdon analis,11
Parasyrphus malinellus,27
Cheilosia psilophthalma,1
Doros profuges,5
Meligramma euchromum,4
Cheilosia caerulescens,2
Eupeodes species A,2
Heringia verrucula,2
Platycheirus sticticus,10
Psilota anthracina,3
Eupeodes lundbecki,5
Blera fallax,3
Caliprobola speciosa,0
Callicera spinolae,1
Cheilosia barbata,12
Cheilosia chrysocoma,13
Cheilosia nigripes,3
Chrysotoxum vernale,4
Ferdinandea ruficornis,8
Hammerschmidtia ferruginea,7
Microdon devius,1
Pocota personata,16
Heringia senilis,1
Eristalis similis,0
Melanostoma form A,4
Platycheirus amplus,8
Melanostoma dubium,19
Platycheirus melanopsis,11
Paragus tibialis,4
Callicera rufa,15
Microdon mutabilis,0
Sphaerophoria bankowskae,0
Cheilosia uviformis,1
Eristalis cryptarum,10
Eupeodes goeldlini,0
Eupeodes lapponicus,1
Sphaerophoria potentillae,1
Myolepta potens,0
Cheilosia sahlbergi,3
Helophilus groenlandicus,1
Chamaesyrphus caledonicus,1
Cheilosia species B,0
Didea alneti,0
Sphaerophoria species B,0
Trichopsomyia lucida,0
Paragus albifrons,4
Xanthogramma stackelbergi,2
Orthonevra intermedia,0
Syrphus nitidifrons,0
Epistrophe ochrostoma,0
Cheilosia ahenea,3
Sphaerophoria form A,0
Microniphargus leruthi,37
Niphargus kochianus,128
Niphargus glenniei,36
Niphargus fontanus,64
Niphargus aquilex,225
Crangonyx subterraneus,27
Proasellus cavaticus,25
Antrobathynella stammeri,21
Asellus aquaticus,3573
Col_2598,385
Col_1223,2122
Col_2747,7519
Col_2346,803
Col_3613,524
Col_1515,276
Col_3840,780
Col_1534,391
Col_2748,433
Col_6830,698
Col_6485,44
Col_2742,40
Col_6008,2352
Col_6105,1009
Col_3851,89
Col_1224,1194
Col_6800,12
Col_7214,690
Col_1663,369
